Historia 1a1,Måndag,13:35,14:55,10
Gymarb EE,Tisdag,13:05,15:05,10
Samh�llskunskap 1a1,Tisdag,12:00,13:00,10
Historia 1b,Onsdag,12:00,13:20,10
Historia 1b,Fredag,9:40,11:00,10
Religion 1,Fredag,14:10,15:15,10
Samh�llskunskap 1a1,Torsdag,14:55,16:15,10
Gymarb TE,Tisdag,13:05,15:05,10
Historia 2b - kultur,Måndag,9:40,11:00,10
Historia 2b - kultur,Torsdag,8:10,09:30,10
Gymarb TE,Fredag,12:00,14:00,10
Gymarb EE,Fredag,12:00,14:00,10
Samh�llskunskap 1b,Måndag,12:00,13:25,10
Samh�llskunskap 1b,Fredag,8:10,09:35,10
